buy_rsi,sell_rsi,1.b,d%,N,cb,ct,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
30,60,1.0,50,5,7,3,1.2403820773896883,1.2130073668290697,1.1178095374574226,1.0603948048245837,1.9190221665580516,1.15561609188306,1.0603948048245837
30,60,1.5,50,5,3,3,1.3936368035935334,1.167575691685234,1.060478185519837,1.0228985041988947,1.4195827512608854,1.1526361430519905,1.0228985041988947
30,60,1.5,50,5,3,7,1.3433453956833363,1.2278786602879432,1.0359398912782078,1.0260195309916815,1.5098923712862489,1.1506899814896958,1.0260195309916815
30,60,1.0,50,5,7,7,1.1786364870854953,1.2743540753750577,1.0665409451642092,1.0686265129905592,2.072189616005058,1.143848133575783,1.0665409451642092
35,60,1.5,50,7,7,3,1.4134638794290593,1.077185972566878,1.0306105397843226,1.0892007972213926,1.2810748797057971,1.1433902473078184,1.0306105397843226
35,60,1.5,50,7,7,7,1.3611143530469791,1.0974522007933865,1.0195899796029235,1.0977377087679978,1.3229821195633764,1.1371063696099728,1.0195899796029235
30,60,1.5,50,7,3,3,1.450894144292065,1.067275979289763,1.024832015927693,1.0093862696126805,1.1576017022978573,1.1250080629575547,1.0093862696126805
30,60,1.5,50,7,3,7,1.4235099863869765,1.0910294369356872,1.0147582721754944,1.0106656066813886,1.1892539327474763,1.1234190096811665,1.0106656066813886
30,60,1.5,50,5,7,3,1.3459757785138653,1.086071980558299,1.060478185519837,1.0228985041988947,1.3204874504074446,1.1221671063587657,1.0228985041988947
30,60,1.5,50,5,7,7,1.3161982095770577,1.1109371118689395,1.0359398912782078,1.0260195309916815,1.366092489022884,1.1165424491322373,1.0260195309916815
30,60,1.0,50,7,7,3,1.191525928011476,1.1503748344248244,1.0843333392651604,1.043139146303274,1.604061595717016,1.1158658357500932,1.043139146303274
30,60,1.0,33,5,7,3,1.040804145320131,1.2674582100470784,1.0865305439849138,1.068094539571057,2.068421928118384,1.1123426106763374,1.040804145320131
35,60,1.5,33,7,7,3,1.238529553560803,1.0973183422125552,1.0210499864284681,1.0970823380275596,1.321563397684454,1.1107883341912304,1.0210499864284681
30,60,1.0,50,7,7,7,1.1575166458797093,1.1928520360425037,1.0476414438127613,1.0490189378504005,1.6987883525081613,1.1098836534525844,1.0476414438127613
30,60,1.5,33,7,3,3,1.3073540430211184,1.0883893754744096,1.0186863848771812,1.0105829298993383,1.1876572120978373,1.1001388257948954,1.0105829298993383
30,60,1.0,50,7,3,3,1.0716230509254725,1.2052577478759379,1.0843333392651604,1.043139146303274,1.6805893251629467,1.099402596581691,1.043139146303274
30,60,1.5,33,5,3,3,1.1119767499465067,1.2211532315975409,1.0455080146275468,1.0258178349084583,1.5053443693341455,1.0985399882777784,1.0258178349084583
30,60,1.5,33,5,7,3,1.2142599017959086,1.108159077477081,1.0455080146275468,1.0258178349084583,1.3660538440772443,1.0960436327296548,1.0258178349084583
30,60,1.5,33,7,3,7,1.2153540918578916,1.138220063839043,1.0050246532617289,1.0134832610255504,1.263099530124501,1.0895084174167171,1.0050246532617289
30,60,1.0,33,7,7,3,1.057488735174819,1.1880892136259047,1.0619480471691007,1.0486389568364702,1.696783039817439,1.0875857666164155,1.0486389568364702
30,60,1.5,33,5,7,7,1.118908171862949,1.1540461831777087,1.0122299268477017,1.032893405748351,1.4777424373757182,1.0779238425312234,1.0122299268477017
35,60,1.5,33,7,7,7,1.045726925614391,1.136076107283306,1.0050600013323678,1.117711006881274,1.4194469679493507,1.0748226467450477,1.0050600013323678
30,60,1.5,50,7,7,3,1.1344973038169395,1.0348873416788227,1.024832015927693,1.0093862696126805,1.1224719488310635,1.0497881231792954,1.0093862696126805
35,60,1.5,50,5,7,3,0.7716442485794428,1.1948362455646697,1.0747933567659747,1.2217492538912806,1.7998059867211809,1.04895810261884,0.7716442485794428
30,60,1.5,50,7,7,7,1.1233900824781393,1.0447907472718445,1.0147582721754944,1.0106656066813886,1.13885249992375,1.047448062090104,1.0106656066813886
35,60,1.5,50,5,7,7,0.730301622040809,1.2478737021187545,1.0475394289254232,1.2434670915916168,1.9360854005622827,1.0438050486246524,0.730301622040809
30,60,1.0,33,7,7,7,0.8592115956145908,1.264613169151935,1.012187762960528,1.0619688269009104,1.924455249610023,1.0395794122283455,0.8592115956145908
30,60,1.5,33,7,7,3,1.0847205453698507,1.0436870402656586,1.0186863848771812,1.0105829298993383,1.1388777524140694,1.0390229829722746,1.0105829298993383
30,60,1.5,33,5,3,7,0.8199854175555777,1.3481000977453028,1.0122299268477017,1.032893405748351,1.7260973354255202,1.0368495339681076,0.8199854175555777
30,60,1.0,50,7,3,7,0.8205991377918931,1.273047651189517,1.0476414438127613,1.0490189378504005,1.8129978460672038,1.035125312605702,0.8205991377918931
30,60,1.5,33,7,7,7,1.0474786969474474,1.061827541881904,1.0050246532617289,1.0134832610255504,1.178363156195049,1.0316873847959154,1.0050246532617289
30,60,1.5,20,7,3,3,0.9269769107401532,1.1349501625998504,1.0082124042870964,1.0131436506189158,1.2581132471042973,1.0181627237480366,0.9269769107401532
30,60,1.5,20,5,7,3,0.859266329110446,1.1508743575661846,1.019994671770624,1.0320649012136822,1.4699023430856684,1.0101018229446774,0.859266329110446
30,60,1.5,20,7,7,3,0.94309081584284,1.060571409215332,1.0082124042870964,1.0131436506189158,1.1756785211124259,1.0053774118458725,0.94309081584284
30,60,1.5,20,7,3,7,0.7787220652238213,1.2345134693289188,0.9953296427012295,1.0169896986678957,1.4230913409530375,0.993208554332273,0.7787220652238213
30,65,1.5,50,7,7,3,0.9062591915868429,1.0520441102313143,1.0047102647319803,1.0095654452781095,1.1491114040361448,0.9916659982309517,0.9062591915868429
30,60,1.5,20,7,7,7,0.8708124481452059,1.0948274824973194,0.9953296427012295,1.0169896986678957,1.263340765739931,0.9911478719382297,0.8708124481452059
35,60,1.5,20,7,7,3,0.7272321025484256,1.1347932478454668,1.0053586899004485,1.115118331570118,1.410916988472866,0.9807491583220865,0.7272321025484256
30,60,1.5,20,5,7,7,0.6916657693981898,1.2376851711021326,0.9886140746514339,1.0414476179587655,1.726398121427502,0.968930602219123,0.6916657693981898
30,60,1.0,20,7,7,3,0.5707232657229468,1.259260960043607,1.0237978887427093,1.0604079835364892,1.9066028072263579,0.9398469442466609,0.5707232657229468
30,65,1.5,50,7,7,7,0.7125492630528734,1.0637978746728363,1.0047102647319803,1.0107361137773068,1.1720309928786448,0.936673339434942,0.7125492630528734
30,65,1.5,33,7,7,3,0.6329714334860171,1.0635276956146462,0.995154049347894,1.0111159919455157,1.1823096366824466,0.9072062886654344,0.6329714334860171
30,60,1.5,20,5,3,3,0.41900228596449923,1.3397698283146044,1.019994671770624,1.0320649012136822,1.711108689906241,0.8767744272993979,0.41900228596449923
30,60,1.0,33,7,3,3,0.34530395629836924,1.2654495887403596,1.0619480471691007,1.0486389568364702,1.8072661021888305,0.8352065958214534,0.34530395629836924
30,70,1.5,50,7,7,7,0.43612956985251106,1.0906804920786644,0.9752008036512588,1.0169109989229235,1.2940984482953346,0.8287480478755577,0.43612956985251106
30,70,1.5,50,7,7,3,0.43612956985251106,1.0798404839165652,0.9752008036512588,1.0162185411039646,1.26131394705929,0.8265403805993469,0.43612956985251106
30,70,1.5,33,7,7,7,0.38842544913993843,1.1230160631744757,0.9752008036512588,1.019264155307355,1.4133365139223548,0.8114627935240409,0.38842544913993843
30,65,1.5,20,7,7,3,0.3957106120401115,1.084859283403,0.9878463552306521,1.0140974475603746,1.2507725103342417,0.8098042460565257,0.3957106120401115
30,65,1.5,33,7,7,7,0.3872121332755924,1.085312534805445,0.995154049347894,1.0136791794119073,1.23353252313846,0.8069073182242015,0.3872121332755924
30,70,1.5,33,7,7,3,0.38842544913993843,1.093407657944819,0.9752008036512588,1.018719880044809,1.3310726448681753,0.8059528862967911,0.38842544913993843
30,70,1.5,20,7,7,7,0.3519458274185597,1.19118779670453,0.9752008036512588,1.0206371689336056,1.6313435166207395,0.8037211032708185,0.3519458274185597
30,65,1.5,20,7,7,7,0.35121048447047126,1.1328366028832686,0.9878463552306521,1.0170488469495778,1.3558195909091788,0.7951361336094366,0.35121048447047126
35,60,1.5,20,7,7,7,0.28807006649228983,1.2087959323130926,0.9893331033885077,1.1466860155841925,1.6155650639127488,0.7927925218727678,0.28807006649228983
30,70,1.5,20,7,7,3,0.3519458274185597,1.119612854615415,0.9752008036512588,1.0207980196745652,1.4464747415238814,0.7913969852566971,0.3519458274185597
30,65,1.5,50,5,7,3,0.26584766397579124,1.1290417405950166,1.0114636874403007,1.0233356064308392,1.3930434560208351,0.7465825019881127,0.26584766397579124
30,65,1.0,50,7,7,3,0.22308131273375967,1.228315153401623,1.0110410429861378,1.0439626156866686,1.7486456239272814,0.7333422108327543,0.22308131273375967
30,65,1.5,50,7,3,3,0.25720279318900224,1.0967143817576839,1.0047102647319803,1.0095654452781095,1.197903196955625,0.7313683023517417,0.25720279318900224
30,60,1.0,33,5,7,7,0.18761059061204574,1.378963476643959,1.0170020224204033,1.086756357661275,2.4419408221579806,0.7312502542324135,0.18761059061204574
30,60,1.0,20,7,7,7,0.19180845865199134,1.4021647583762318,0.9768749589422163,1.0780843516901735,2.4336247301458998,0.7295240783257866,0.19180845865199134
30,60,1.0,20,5,7,3,0.17957661841472755,1.3711823551028897,1.0332240237323458,1.0845711769510837,2.4112612018200292,0.7247686336871006,0.17957661841472755
30,70,1.5,50,7,3,7,0.21886891686080057,1.214673398060385,0.9752008036512588,1.0169109989229235,1.4411233323374402,0.7165642731072457,0.21886891686080057
30,65,1.5,33,5,7,3,0.21940016956002312,1.1583303103794138,0.9881860981059165,1.0271182789286937,1.4866652887467384,0.7126596076780747,0.21940016956002312
30,70,1.5,50,7,3,3,0.21886891686080057,1.184989823834368,0.9752008036512588,1.0162185411039646,1.384134125939334,0.7120245510097135,0.21886891686080057
30,65,1.5,33,7,3,3,0.2256279215336694,1.129943906886248,0.995154049347894,1.0111159919455157,1.2561422373861897,0.711680809615991,0.2256279215336694
30,65,1.5,50,7,3,7,0.21729873894555995,1.1288029363493237,1.0047102647319803,1.0107361137773068,1.2436440686068002,0.7064614848456908,0.21729873894555995
30,70,1.5,50,5,7,7,0.2052318228109746,1.2277141138626448,0.939500538765336,1.041255624149644,1.8181141229459812,0.7046104602161176,0.2052318228109746
30,65,1.5,50,5,7,7,0.20150270597710876,1.158984474058238,1.0114636874403007,1.026191538231604,1.4586280626835222,0.7016722584342919,0.20150270597710876
30,70,1.5,50,5,7,3,0.2052318228109746,1.200096434545642,0.939500538765336,1.0395663224325393,1.7180697528800508,0.7003296616665605,0.2052318228109746
30,70,1.5,33,7,3,7,0.1706138147980012,1.308424399374807,0.9752008036512588,1.019264155307355,1.6454399587108004,0.6863346222034189,0.1706138147980012
30,65,1.5,20,7,3,3,0.182682743847663,1.1943182291089283,0.9878463552306521,1.0140974475603746,1.3768007248819147,0.6837489455948638,0.182682743847663
30,65,1.0,33,7,7,3,0.16443770277517603,1.276975952210624,0.9762344369568416,1.051088900481734,1.9353481126227599,0.6813094664644064,0.16443770277517603
30,70,1.0,50,7,7,7,0.15412233491142446,1.3900356667363856,0.908274222929375,1.0777226490676313,2.2352688023064573,0.6767120044432094,0.15412233491142446
30,70,1.5,33,5,7,7,0.1610721501351458,1.3096663484423965,0.939500538765336,1.0469963220116645,2.1947264238879094,0.6749254869480119,0.1610721501351458
30,70,1.5,33,7,3,3,0.1706138147980012,1.2238620437343566,0.9752008036512588,1.018719880044809,1.4898580321640311,0.6748758273070171,0.1706138147980012
30,65,1.0,50,5,7,3,0.14451730219695647,1.3250667428976517,1.01539858254518,1.0615476619613344,2.1466669374028857,0.6740364966623908,0.14451730219695647
30,70,1.5,20,7,3,7,0.13848474430576335,1.4948158025437464,0.9752008036512588,1.0206371689336056,2.043721699908809,0.6737344600367992,0.13848474430576335
30,65,1.0,50,7,7,7,0.15183077213589005,1.2787706223715316,1.0110410429861378,1.049342987204183,1.8810915607604044,0.6736893399792016,0.15183077213589005
30,65,1.5,33,7,3,7,0.1689737521556508,1.1942170081300774,0.995154049347894,1.0136791794119073,1.3569276664831669,0.6716968865078168,0.1689737521556508
30,65,1.5,20,5,7,3,0.1664738616058108,1.2128263492934597,0.9703855886149162,1.034391758918024,1.686564714748445,0.6709551903490375,0.1664738616058108
30,70,1.0,50,7,7,3,0.15412233491142446,1.3435200265769214,0.908274222929375,1.0745401252970157,2.070014100988242,0.6704823312469778,0.15412233491142446
35,65,1.5,50,7,7,3,0.16621802940816957,1.1039183067016658,1.0040855902365093,1.0964263484564192,1.3327114333398045,0.670411284334038,0.16621802940816957
30,65,1.5,33,5,7,7,0.159611096186082,1.2139373325564895,0.9881860981059165,1.0333713630439771,1.636790057887842,0.6669428599008637,0.159611096186082
30,70,1.5,33,5,7,3,0.1610721501351458,1.2347835343807434,0.939500538765336,1.045668522526377,1.933903945517321,0.6648529322299614,0.1610721501351458
30,70,1.5,20,5,7,7,0.13175149538295358,1.480988094628074,0.939500538765336,1.050345889614093,2.9060334822464604,0.6624210481976034,0.13175149538295358
