date,w5_btc,w5_strategy,w5_lev
2022-09-01,20127.140625,7000.0,1.5
2022-09-02,19969.771484375,7000.0,1.5
2022-09-03,19832.087890625,7000.0,1.5
2022-09-04,19986.712890625,7000.0,1.5
2022-09-05,19812.37109375,7000.0,1.5
2022-09-06,18837.66796875,7000.0,1.5
2022-09-07,19290.32421875,7000.0,1.5
2022-09-08,19329.833984375,7000.0,1.5
2022-09-09,21381.15234375,7000.0,1.5
2022-09-10,21680.5390625,7000.0,1.5
2022-09-11,21769.255859375,7000.0,1.5
2022-09-12,22370.44921875,7000.0,1.5
2022-09-13,20296.70703125,7000.0,1.5
2022-09-14,20241.08984375,7000.0,1.5
2022-09-15,19701.2109375,7000.0,1.5
2022-09-16,19772.583984375,7000.0,1.5
2022-09-17,20127.576171875,7000.0,1.5
2022-09-18,19419.505859375,7000.0,1.5
2022-09-19,19544.12890625,7000.0,1.5
2022-09-20,18890.7890625,7000.0,1.5
2022-09-21,18547.400390625,7000.0,1.5
2022-09-22,19413.55078125,7000.0,1.5
2022-09-23,19297.638671875,7000.0,1.5
2022-09-24,18937.01171875,7000.0,1.5
2022-09-25,18802.09765625,7000.0,1.5
2022-09-26,19222.671875,7000.0,1.5
2022-09-27,19110.546875,7000.0,1.5
2022-09-28,19426.720703125,7000.0,1.5
2022-09-29,19573.05078125,7000.0,1.5
2022-09-30,19431.7890625,7000.0,1.5
2022-10-01,19312.095703125,7000.0,1.5
2022-10-02,19044.107421875,7000.0,1.5
2022-10-03,19623.580078125,7000.0,1.5
2022-10-04,20336.84375,7000.0,1.5
2022-10-05,20160.716796875,7000.0,1.5
2022-10-06,19955.443359375,7000.0,1.5
2022-10-07,19546.849609375,7000.0,1.5
2022-10-08,19416.568359375,7000.0,1.5
2022-10-09,19446.42578125,7000.0,1.5
2022-10-10,19141.484375,7000.0,1.5
2022-10-11,19051.41796875,7000.0,1.5
2022-10-12,19157.4453125,7000.0,1.5
2022-10-13,19382.904296875,7000.0,1.5
2022-10-14,19185.65625,7000.0,1.5
2022-10-15,19067.634765625,7000.0,1.5
2022-10-16,19268.09375,7000.0,1.5
2022-10-17,19550.7578125,7000.0,1.5
2022-10-18,19334.416015625,7000.0,1.5
2022-10-19,19139.53515625,7000.0,1.5
2022-10-20,19053.740234375,7000.0,1.5
2022-10-21,19172.46875,7000.0,1.5
2022-10-22,19208.189453125,7000.0,1.5
2022-10-23,19567.0078125,7000.0,1.5
2022-10-24,19345.572265625,7000.0,1.5
2022-10-25,20095.857421875,7000.0,1.5
2022-10-26,20770.44140625,7000.0,1.5
2022-10-27,20285.8359375,7000.0,1.5
2022-10-28,20595.3515625,7000.0,1.5
2022-10-29,20818.4765625,7000.0,1.5
2022-10-30,20635.603515625,7000.0,1.5
2022-10-31,20495.7734375,7000.0,1.5
2022-11-01,20485.2734375,7000.0,1.5
2022-11-02,20159.50390625,7000.0,1.5
2022-11-03,20209.98828125,7000.0,1.5
2022-11-04,21147.23046875,7000.0,1.5
2022-11-05,21282.69140625,7000.0,1.5
2022-11-06,20926.486328125,7000.0,1.5
2022-11-07,20602.81640625,7000.0,1.5
2022-11-08,18541.271484375,6999.601895734597,1.5
2022-11-09,15880.7802734375,6885.149166649151,1.5
2022-11-10,17586.771484375,6957.584970019936,1.5
2022-11-11,17034.29296875,6895.775011714232,1.5
2022-11-12,16799.185546875,6869.154163272992,1.5
2022-11-13,16353.365234375,6819.190148574715,1.5
2022-11-14,16618.19921875,6847.994935131829,1.5
2022-11-15,16884.61328125,6876.966017084067,1.5
2022-11-16,16669.439453125,6852.559166612264,1.5
2022-11-17,16687.517578125,6854.008212428252,1.5
2022-11-18,16697.77734375,6854.590234533138,1.5
2022-11-19,16711.546875,6855.5608640442915,1.5
2022-11-20,16291.83203125,6808.492744913185,1.5
2022-11-21,15787.2841796875,6752.037477370317,1.5
2022-11-22,16189.76953125,6796.115471673396,1.5
2022-11-23,16610.70703125,6842.224929089856,1.5
2022-11-24,16604.46484375,6840.980776178891,1.5
2022-11-25,16521.841796875,6831.272382907572,1.5
2022-11-26,16464.28125,6824.34413768579,1.5
2022-11-27,16444.626953125,6821.618538153147,1.5
2022-11-28,16217.322265625,6795.881990413116,1.5
2022-11-29,16444.982421875,6820.571735930838,1.5
2022-11-30,17168.56640625,6900.211676892329,1.5
2022-12-01,16967.1328125,6877.318061952282,1.5
2022-12-02,17088.66015625,6890.221343354813,1.5
2022-12-03,16908.236328125,6869.658666277708,1.5
2022-12-04,17130.486328125,6893.7258870596215,1.5
2022-12-05,16974.826171875,6875.906103566116,1.5
2022-12-06,17089.50390625,6888.050062484309,1.5
2022-12-07,16848.126953125,6860.73259498868,1.5
2022-12-08,17233.474609375,6901.9803939663225,1.5
2022-12-09,17133.15234375,6879.326573572481,1.5
2022-12-10,17128.724609375,6877.271672467937,1.5
2022-12-11,17104.193359375,6870.900014597524,1.5
2022-12-12,17206.4375,6891.753767870116,1.5
2022-12-13,17781.318359375,7012.751648633525,1.5
2022-12-14,17815.650390625,7021.351113779045,1.5
2022-12-15,17364.865234375,6751.705003659827,1.5
2022-12-16,16647.484375,6324.538475222781,1.5
2022-12-17,16795.091796875,6408.844619304167,1.5
2022-12-18,16757.9765625,6383.924159414519,1.5
2022-12-19,16439.6796875,6192.787290936668,1.5
2022-12-20,16906.3046875,6465.720338889103,1.5
2022-12-21,16817.53515625,6410.244259124073,1.5
2022-12-22,16830.341796875,6414.831571992257,1.5
2022-12-23,16796.953125,6392.107848827009,1.5
2022-12-24,16847.755859375,6419.160537017046,1.5
2022-12-25,16841.986328125,6412.761021786933,1.5
2022-12-26,16919.8046875,6455.776244698401,1.5
2022-12-27,16717.173828125,6332.9876473191525,1.5
2022-12-28,16552.572265625,6232.716349197388,1.5
2022-12-29,16642.341796875,6282.847954477472,1.5
2022-12-30,16602.5859375,6256.393563940416,1.5
2022-12-31,16547.49609375,6220.8814067819385,1.5
2023-01-01,16625.080078125,6263.810319674928,1.5
2023-01-02,16688.470703125,6298.334940230534,1.5
2023-01-03,16679.857421875,6290.2825745701075,1.5
2023-01-04,16863.23828125,6395.730756962177,1.5
2023-01-05,16836.736328125,6377.072342119259,1.5
2023-01-06,16951.96875,6442.206147559242,1.5
2023-01-07,16955.078125,6441.036988172697,1.5
2023-01-08,17091.14453125,6518.465992257749,1.5
2023-01-09,17196.5546875,6577.748146998898,1.5
2023-01-10,17446.29296875,6722.332438762542,1.5
2023-01-11,17934.896484375,7006.620585852548,1.5
2023-01-12,18869.587890625,7487.407406478566,1.5
2023-01-13,19909.57421875,8021.494069810151,1.5
2023-01-14,20976.298828125,8459.656705675554,1.5
2023-01-15,20880.798828125,8425.951441593752,1.5
2023-01-16,21169.6328125,8519.512473766874,1.5
2023-01-17,21161.51953125,8514.722611728528,1.5
2023-01-18,20688.78125,8356.091594412954,1.5
2023-01-19,21086.79296875,8485.821540374662,1.5
2023-01-20,22676.552734375,9009.360508795417,1.5
2023-01-21,22777.625,9034.330770690758,1.5
2023-01-22,22720.416015625,9017.366200659299,1.5
2023-01-23,22934.431640625,9072.250312090757,1.5
2023-01-24,22636.46875,8991.500465993871,1.5
2023-01-25,23117.859375,9117.215669140305,1.5
2023-01-26,23032.77734375,9092.840819228535,1.5
2023-01-27,23078.728515625,9102.570339393767,1.5
2023-01-28,23031.08984375,9091.007583992932,1.5
2023-01-29,23774.56640625,9247.093379485343,1.5
2023-01-30,22840.138671875,9047.566576537642,1.5
2023-01-31,23139.283203125,9109.505950215469,1.5
2023-02-01,23723.76953125,9231.893186179794,1.5
2023-02-02,23471.87109375,9177.004648850014,1.5
2023-02-03,23449.322265625,9170.733690706076,1.5
2023-02-04,23331.84765625,9143.85383471665,1.5
2023-02-05,22955.666015625,9078.893423814701,1.5
2023-02-06,22760.109375,9044.573199042248,1.5
2023-02-07,23264.291015625,9128.888361023202,1.5
2023-02-08,22939.3984375,9072.626334319762,1.5
2023-02-09,21819.0390625,8881.156700539079,1.5
